V1,V2,V3,V4,V5,V6,V7,V8,V23,V24,V25,V26,V27,V28,V29,V30,V31,V46,V47,V48,V49,V50,V51,V52,V53,V54,V64,V65,V66,V67,V68,V69,V70,V71,V72,V82,V83,V84,V85,V86,V87,V88,V89,V90,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119
144,yes,1,0,0,1,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,1,0,0,0,0,0,0,0,0,0
145,yes,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,1
147,yes,1,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,1,0
146,yes,1,0,0,1,0,no,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,na,na,na,na,na,na,na,na,na,no,na,na,na,na,na,na,na,na,na,na
148,yes,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,1,0,0,0,0,0,1,0,0,0
149,yes,1,0,0,0,0,yes,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,1,0,0,0,0,0,0,0,0,0
151,yes,1,0,0,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,na,na,na,na,na,na,na,na,na,na
154,yes,0,0,0,1,0,no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,no,na,na,na,na,na,na,na,na,na,na
156,yes,0,0,0,0,1,no,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,na,no,na,na,na,na,na,na,na,na,na,na
159,yes,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tes,na,na,na,na,na,na,na,na,na,na
161,yes,1,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,1,0
160,yes,1,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,na,yes,0,0,0,0,0,0,0,0,1,0
162,yes,0,1,0,0,0,no,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,na,no,na,na,na,na,na,na,na,na,na,na
164,yes,0,1,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,no,na,na,na,na,na,na,na,na,na,na
165,yes,1,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,yes,0,0,0,0,1,0,0,0,0,0
169,yes,0,0,0,0,1,yes,0,0,1,1,0,0,0,0,0,na,na,na,na,na,na,na,na,na,0,0,0,0,1,0,0,0,0,na,na,na,na,na,na,na,na,na,yes,0,0,0,1,0,0,0,0,0,0
170,yes,1,0,0,0,0,no,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,yes,0,0,0,0,0,0,0,0,1,0
