V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55
180,yes,1,1,0,0,0,yes,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,yes,1,0,0,0,0,0,0,0,0,0
181,yes,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,0,0,0,1,0,0,0,0,0,0
182,yes,1,0,0,0,0,no,0,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,na,yes,0,0,0,0,0,0,0,0,1,0
186,yes,1,0,0,1,0,no,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0
190,yes,1,1,0,0,0,yes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,na,yes,0,0,0,0,0,0,0,0,1,0
187,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,1,0
193,yes,0,0,0,1,0,yes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,na,na,na,na,na,na,na,na,na,yes,0,1,0,0,0,0,0,0,0,0
194,yes,1,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,1,0,0,0,0,0,0,0,0,0
197,yes,0,1,0,1,0,no,0,0,1,0,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,no,0,0,0,0,0,0,0,0,0,0
199,yes ,1,1,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,na,na,na,na,na,na,na,na,na,yes,0,0,0,0,1,0,0,0,0,0
199,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,0
200,yes,0,1,0,1,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,0,0,0,0,1,1,1,0,0,0
201,yes,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,0,0,0,0,1,1,0,0,0,0
202,yes,0,1,0,1,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,0
204,yes,0,1,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,na,na,na,na,na,na,na,na,na,yes,0,0,0,0,1,0,0,0,0,0
205,yes,0,0,0,1,0,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,yes,0,1,0,0,0,0,0,0,0,0
208,yes,0,0,1,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,no,na,na,na,na,na,na,na,na,na,na
209,yes,1,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,yes,0,0,0,0,1,0,0,0,0,0
210,yes,1,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,na,na,na,na,na,na,na,na,na,yes,0,1,0,0,0,0,0,0,0,0
211,yes,0,0,0,1,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,yes,0,0,0,0,1,0,0,0,0,0
212,yes,1,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,yes,0,0,0,0,0,0,0,0,0,1
213,yes,0,1,0,0,0,Yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,0
215,yes,1,1,0,1,0,no,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,1,0
216,yes,1,0,0,0,0,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,1,0,0,0,0,0,0,0,0,0
218,yes,1,0,0,1,0,yes,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,yes,0,0,0,0,0,0,1,0,0,0
220,yes,0,0,0,1,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,yes,1,0,0,0,0,0,0,0,0,0
221,yes,1,1,0,0,0,no,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,yes,0,0,0,0,0,0,0,0,0,1
222,yes,0,1,0,0,0,yes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0
223,yes,0,0,0,0,1,yes,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0
224,yes,0,1,0,1,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,0,0,0,0,1,1,1,0,0,0
225,yes,1,0,0,1,0,yes,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0
226,yes,1,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,0,0,0,1,0,0,0,0,0,0
227,yes,0,1,0,1,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,no,na,na,na,na,na,na,na,na,na,na
228,yes,1,1,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,na,na,na,na,na,na,na,na,na,yes,0,0,0,0,0,0,1,0,0,0
229,yes,1,1,0,1,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,yes,1,0,0,0,0,1,0,0,0,0
232,yes,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,0,0,0,0,1,1,1,0,0,0
233,yes,1,0,0,1,0,yes,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,0,0,0,0,1,1,1,0,0,0
235,yes,1,1,0,1,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0
236,yes,1,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0
179,yes,1,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0
238,yes ,0,1,0,1,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,1,0,0,0
241,yes,1,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,na,na,na,na,na,na,na,na,na,na
242,yes,0,0,0,1,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,no,na,na,na,na,na,na,na,na,na,na
245,yes,0,0,1,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0
246,yes,0,0,0,1,0,yes,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,yes,0,1,0,0,1,0,0,0,0,0
247,yes,1,0,0,0,0,yes,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,na,na,na,na,na,na,na,na,na,yes,0,0,0,0,0,0,1,0,0,0
248,yes,0,1,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,na,na,na,na,na,na,na,na,na,yes,0,0,0,0,0,0,0,1,0,0
249,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0
250,yes,1,1,0,1,0,yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,na,na,na,na,na,na,na,na,na,no,na,na,na,na,na,na,na,na,na,na
